species,plot,no.seeds,no.seeds.visible,no.seeds.unfilled
Velleia rosea,1,49,49,0
Velleia rosea,2,50,50,1
Velleia rosea,3,50,50,1
Velleia rosea,4,49,49,2
Velleia rosea,5,49,46,1
Velleia rosea,6,49,48,2
Velleia rosea,7,51,51,2
Velleia rosea,8,50,50,1
Velleia rosea,9,50,50,2
Velleia rosea,10,50,49,1
Velleia rosea,11,49,49,0
Velleia rosea,12,52,52,1
Velleia rosea,13,49,49,7
Velleia rosea,14,48,48,3
Velleia rosea,15,49,49,0
Velleia rosea,16,49,49,1
Velleia rosea,17,48,48,2
Velleia rosea,18,50,50,6
Velleia rosea,19,49,46,3
Velleia rosea,20,50,50,3
Trachymene cyanopetala,1,49,35,1
Trachymene cyanopetala,2,50,40,1
Trachymene cyanopetala,3,50,36,2
Trachymene cyanopetala,4,51,28,1
Trachymene cyanopetala,5,51,38,2
Trachymene cyanopetala,6,50,45,0
Trachymene cyanopetala,7,48,34,1
Trachymene cyanopetala,8,50,41,2
Trachymene cyanopetala,9,50,35,3
Trachymene cyanopetala,10,50,41,2
Trachymene cyanopetala,11,50,45,1
Trachymene cyanopetala,12,49,37,3
Trachymene cyanopetala,13,50,33,1
Trachymene cyanopetala,14,50,33,0
Trachymene cyanopetala,15,50,35,0
Trachymene cyanopetala,16,50,38,0
Trachymene cyanopetala,17,50,42,2
Trachymene cyanopetala,18,50,36,0
Trachymene cyanopetala,19,50,32,1
Trachymene cyanopetala,20,49,46,0
